label,short,shortDomain,shortRange,description
meaning,dbo:meaning,,xsd:string,meaning
measurements,dbo:measurements,dbo:Person,xsd:string,measurements of person
MedlinePlus,dbo:medlinePlus,,xsd:string,medlineplus
melting point (K),dbo:meltingPoint,,xsd:double,melting point
member,dbo:member,dbo:Person,xsd:string,member of person
membership,dbo:membership,dbo:Organisation,rdf:langString,membership of organisation
date membership established,dbo:membershipAsOf,"dbo:Organisation,_Parish",xsd:date,"date membership established of organisation,_ parish"
merger date,dbo:mergerDate,dbo:Place,xsd:date,merger date of place
MeSH ID,dbo:meshId,dbo:Disease,xsd:string,mesh id of disease
MeSH name,dbo:meshName,dbo:AnatomicalStructure,rdf:langString,mesh name of anatomical structure
MeSH number,dbo:meshNumber,dbo:AnatomicalStructure,xsd:string,mesh number of anatomical structure
Messier name,dbo:messierName,dbo:CelestialBody,xsd:string,messier name of celestial body
mgiid,dbo:mgiid,dbo:Biomolecule,xsd:string,mgiid of biomolecule
military command,dbo:militaryCommand,dbo:MilitaryPerson,xsd:string,military command of military person
military function,dbo:militaryFunction,dbo:MilitaryPerson,xsd:string,military function of military person
military government,dbo:militaryGovernment,,xsd:string,military government
military unit size,dbo:militaryUnitSize,,xsd:string,military unit size
mill span (μ),dbo:millSpan,dbo:Mill,xsd:double,mill span of mill
mill code BE,dbo:millsCodeBE,dbo:Mill,xsd:string,mill code be of mill
mill code NL,dbo:millsCodeDutch,dbo:Mill,xsd:string,mill code nl of mill
mill code NL,dbo:millsCodeNL,dbo:Mill,xsd:string,mill code nl of mill
mill dissapeared code NL,dbo:millsCodeNLVerdwenen,dbo:Mill,xsd:string,mill dissapeared code nl of mill
millsCodeNLWindmotoren,dbo:millsCodeNLWindmotoren,dbo:Mill,xsd:string,millscodenlwindmotoren of mill
min,dbo:min,,xsd:nonNegativeInteger,min
minimum preparation time (s),dbo:minTime,dbo:Food,xsd:double,minimum preparation time of food
minimum area,dbo:minimumArea,dbo:Place,xsd:string,minimum area of place
minimum area quote,dbo:minimumAreaQuote,dbo:Place,xsd:string,minimum area quote of place
minimum discharge (m³/s),dbo:minimumDischarge,,xsd:double,minimum discharge
minimum elevation (μ),dbo:minimumElevation,dbo:Place,xsd:double,minimum elevation of place
minimum inclination,dbo:minimumInclination,dbo:LaunchPad,xsd:float,minimum inclination of launch pad
minimum temperature (K),dbo:minimumTemperature,dbo:Planet,xsd:double,minimum temperature of planet
minority floor leader,dbo:minorityFloorLeader,,xsd:integer,minority floor leader
minority leader,dbo:minorityLeader,,xsd:integer,minority leader
mir dockings,dbo:mirDockings,dbo:SpaceShuttle,xsd:nonNegativeInteger,mir dockings of space shuttle
mission duration (s),dbo:missionDuration,dbo:SpaceMission,xsd:double,mission duration of space mission
missions,dbo:missions,dbo:SpaceShuttle,xsd:nonNegativeInteger,missions of space shuttle
model,dbo:model,dbo:Sales,xsd:string,model of sales
model end date,dbo:modelEndDate,dbo:MeanOfTransportation,xsd:date,model end date of mean of transportation
model end year,dbo:modelEndYear,dbo:MeanOfTransportation,xsd:gYear,model end year of mean of transportation
type series,dbo:modelLineVehicle,dbo:MeanOfTransportation,xsd:string,type series of mean of transportation
model start date,dbo:modelStartDate,dbo:MeanOfTransportation,xsd:date,model start date of mean of transportation
model start year,dbo:modelStartYear,dbo:MeanOfTransportation,xsd:gYear,model start year of mean of transportation
Moderna,dbo:moderna,,xsd:string,moderna
ModernaCumulativeDoses,dbo:modernaCumul,,xsd:integer,modernacumulativedoses
molar mass,dbo:molarMass,dbo:ChemicalSubstance,xsd:double,molar mass of chemical substance
molecular weight,dbo:molecularWeight,dbo:ChemicalSubstance,xsd:nonNegativeInteger,molecular weight of chemical substance
month,dbo:month,,xsd:string,month
mood,dbo:mood,dbo:Person,xsd:string,mood of person
motive,dbo:motive,dbo:Criminal,xsd:string,motive of criminal
motto,dbo:motto,,xsd:string,motto
mount,dbo:mount,dbo:Person,xsd:string,mount of person
mouth elevation (μ),dbo:mouthElevation,,xsd:double,mouth elevation
mukthar of a lebanon settlement,dbo:mukhtar,dbo:LebanonSettlement,xsd:string,mukthar of a lebanon settlement of lebanon settlement
municipality code,dbo:municipalityCode,dbo:Place,xsd:string,municipality code of place
a municipality's new name,dbo:municipalityRenamedTo,dbo:Municipality,xsd:string,a municipality's new name of municipality
type of municipality,dbo:municipalityType,dbo:Municipality,xsd:string,type of municipality of municipality
MusicBrainz artist id,dbo:musicBrainzArtistId,,xsd:string,musicbrainz artist id
musicFormat,dbo:musicFormat,dbo:Album,xsd:string,musicformat of album
musical key,dbo:musicalKey,dbo:MusicalWork,xsd:string,musical key of musical work
mute character in play,dbo:muteCharacterInPlay,dbo:Play,xsd:string,mute character in play of play
mvp,dbo:mvp,dbo:Athlete,xsd:string,mvp of athlete
name,dbo:name,,rdf:langString,name
so named since,dbo:nameAsOf,,xsd:gYear,so named since
name day,dbo:nameDay,dbo:GivenName,xsd:date,name day of given name
name in Yue Chinese,dbo:nameInCantoneseChinese,,rdf:langString,name in yue chinese
name in Hangul-written Korean,dbo:nameInHangulKorean,,rdf:langString,name in hangul-written korean
name in Hanja-written (traditional) Korean,dbo:nameInHanjaKorean,,rdf:langString,name in hanja-written korean
name in Japanese,dbo:nameInJapanese,,rdf:langString,name in japanese
name in Mindongyu Chinese,dbo:nameInMindongyuChinese,,rdf:langString,name in mindongyu chinese
name in Minnanyu Chinese,dbo:nameInMinnanyuChinese,,rdf:langString,name in minnanyu chinese
name in Pinyin Chinese,dbo:nameInPinyinChinese,,rdf:langString,name in pinyin chinese
name in Simplified Chinese,dbo:nameInSimplifiedChinese,,rdf:langString,name in simplified chinese
name in Traditional Chinese,dbo:nameInTraditionalChinese,,rdf:langString,name in traditional chinese
name in the Wade-Giles transscription of Chinese,dbo:nameInWadeGilesChinese,,rdf:langString,name in the wade-giles transscription of chinese
names,dbo:names,dbo:Openswarm,rdf:langString,names of openswarm
nation,dbo:nation,dbo:PopulatedPlace,xsd:string,nation of populated place
national championship,dbo:nationalChampionship,dbo:Athlete,xsd:string,national championship of athlete
national ranking,dbo:nationalRanking,dbo:EducationalInstitution,xsd:positiveInteger,national ranking of educational institution
national team year,dbo:nationalTeamYear,dbo:Person,xsd:string,national team year of person
National Topographic System map number,dbo:nationalTopographicSystemMapNumber,dbo:Place,xsd:string,national topographic system map number of place
national tournament bronze,dbo:nationalTournamentBronze,dbo:Person,xsd:nonNegativeInteger,national tournament bronze of person
national tournament gold,dbo:nationalTournamentGold,dbo:Person,xsd:nonNegativeInteger,national tournament gold of person
national tournament silver,dbo:nationalTournamentSilver,dbo:Person,xsd:nonNegativeInteger,national tournament silver of person
national years,dbo:nationalYears,dbo:SoccerPlayer,xsd:gYear,national years of soccer player
Number of revision per month,dbo:nbRevPerMonth,prov:Entity,xsd:anyURI,number of revision per month of entity
Number of revision per year,dbo:nbRevPerYear,prov:Entity,xsd:anyURI,number of revision per year of entity
Number of unique contributors,dbo:nbUniqueContrib,prov:Entity,xsd:integer,number of unique contributors of entity
ncaa season,dbo:ncaaSeason,dbo:Athlete,xsd:string,ncaa season of athlete
ncbhof,dbo:ncbhof,dbo:Athlete,xsd:string,ncbhof of athlete
NCI,dbo:nciId,dbo:Disease,xsd:string,nci of disease
NDL id,dbo:ndlId,,xsd:string,ndl id
neighbour constellations,dbo:neighbourConstellations,dbo:Constellation,xsd:string,neighbour constellations of constellation
neighbour region,dbo:neighbourRegion,dbo:Place,xsd:string,neighbour region of place
neighbourhood of a hungarian settlement,dbo:neighbourhood,dbo:HungarySettlement,xsd:string,neighbourhood of a hungarian settlement of hungary settlement
net income ($),dbo:netIncome,dbo:Company,xsd:double,net income of company
networth ($),dbo:networth,dbo:Person,xsd:double,networth of person
number of the next track,dbo:nextTrackNumber,dbo:Work,xsd:nonNegativeInteger,number of the next track of work
nfl code,dbo:nflCode,dbo:Athlete,xsd:string,nfl code of athlete
nfl season,dbo:nflSeason,dbo:Athlete,xsd:string,nfl season of athlete
NGC name,dbo:ngcName,dbo:CelestialBody,xsd:string,ngc name of celestial body
NIS code,dbo:nisCode,dbo:PopulatedPlace,xsd:string,nis code of populated place
NLA Id,dbo:nlaId,,xsd:string,nla id
NNDB id,dbo:nndbId,dbo:Person,xsd:string,nndb id of person
no contest,dbo:noContest,dbo:Boxer,xsd:nonNegativeInteger,no contest of boxer
non professional career,dbo:nonProfessionalCareer,dbo:Person,xsd:string,non professional career of person
NORD,dbo:nord,dbo:Disease,xsd:string,nord of disease
notable features,dbo:notableFeatures,dbo:Galaxy,xsd:string,notable features of galaxy
note,dbo:note,dbo:AutomobileEngine,xsd:string,note of automobile engine
note on place of burial,dbo:noteOnPlaceOfBurial,dbo:MilitaryPerson,xsd:string,note on place of burial of military person
note on resting place,dbo:noteOnRestingPlace,dbo:Person,xsd:string,note on resting place of person
notes,dbo:notes,,xsd:string,notes
notify date,dbo:notifyDate,dbo:SiteOfSpecialScientificInterest,xsd:date,notify date of site of special scientific interest
NRHP Reference Number,dbo:nrhpReferenceNumber,dbo:HistoricPlace,xsd:string,nrhp reference number of historic place
NSSDC ID,dbo:nssdcId,dbo:SpaceStation,xsd:string,nssdc id of space station
number,dbo:number,,xsd:nonNegativeInteger,number
number built,dbo:numberBuilt,dbo:Aircraft,xsd:nonNegativeInteger,number built of aircraft
number of academic staff,dbo:numberOfAcademicStaff,dbo:EducationalInstitution,xsd:nonNegativeInteger,number of academic staff of educational institution
number of albums,dbo:numberOfAlbums,dbo:MusicalArtist,xsd:nonNegativeInteger,number of albums of musical artist
number of arrondissement,dbo:numberOfArrondissement,dbo:Department,xsd:nonNegativeInteger,number of arrondissement of department
number of bombs,dbo:numberOfBombs,dbo:MilitaryAircraft,xsd:nonNegativeInteger,number of bombs of military aircraft
number of bronze medals won,dbo:numberOfBronzeMedalsWon,dbo:SportCompetitionResult,xsd:nonNegativeInteger,number of bronze medals won of sport competition result
number of canton,dbo:numberOfCanton,dbo:Department,xsd:nonNegativeInteger,number of canton of department
Number Of Cantons,dbo:numberOfCantons,dbo:PopulatedPlace,xsd:nonNegativeInteger,number of cantons of populated place
Number Of Capital Deputies,dbo:numberOfCapitalDeputies,dbo:PopulatedPlace,xsd:nonNegativeInteger,number of capital deputies of populated place
number of contries inside en continent,dbo:numberOfCity,dbo:Continent,xsd:nonNegativeInteger,number of contries inside en continent of continent
numberOfClasses,dbo:numberOfClasses,,xsd:nonNegativeInteger,numberofclasses
numberOfClassesWithResource,dbo:numberOfClassesWithResource,,xsd:nonNegativeInteger,numberofclasseswithresource
number of clubs,dbo:numberOfClubs,dbo:Activity,xsd:nonNegativeInteger,number of clubs of activity
number of items in collection,dbo:numberOfCollectionItems,dbo:Library,xsd:integer,number of items in collection of library
number of competitors,dbo:numberOfCompetitors,dbo:OlympicResult,xsd:nonNegativeInteger,number of competitors of olympic result
number of counties,dbo:numberOfCounties,dbo:PopulatedPlace,xsd:nonNegativeInteger,number of counties of populated place
number of countries,dbo:numberOfCountries,dbo:AdministrativeRegion,xsd:positiveInteger,number of countries of administrative region
number of crew,dbo:numberOfCrew,dbo:MeanOfTransportation,xsd:nonNegativeInteger,number of crew of mean of transportation
number of deaths,dbo:numberOfDeaths,dbo:ConcentrationCamp,xsd:string,number of deaths of concentration camp
number of dependency,dbo:numberOfDependency,dbo:Continent,xsd:nonNegativeInteger,number of dependency of continent
numberOfDisambiguates,dbo:numberOfDisambiguates,,xsd:nonNegativeInteger,numberofdisambiguates
number of district,dbo:numberOfDistrict,dbo:Department,xsd:nonNegativeInteger,number of district of department
number of districts,dbo:numberOfDistricts,dbo:Regency,xsd:nonNegativeInteger,number of districts of regency
number of doctoral students,dbo:numberOfDoctoralStudents,dbo:University,xsd:nonNegativeInteger,number of doctoral students of university
number of doors,dbo:numberOfDoors,dbo:Automobile,xsd:positiveInteger,number of doors of automobile
number of employees,dbo:numberOfEmployees,dbo:Organisation,xsd:nonNegativeInteger,number of employees of organisation
number of entrances,dbo:numberOfEntrances,dbo:Cave,xsd:nonNegativeInteger,number of entrances of cave
number of episodes,dbo:numberOfEpisodes,dbo:TelevisionShow,xsd:nonNegativeInteger,number of episodes of television show
number of étoiles Michelin,dbo:numberOfEtoilesMichelin,dbo:Restaurant,xsd:nonNegativeInteger,number of étoiles michelin of restaurant
Number Of Federal Deputies,dbo:numberOfFederalDeputies,dbo:PopulatedPlace,xsd:nonNegativeInteger,number of federal deputies of populated place
number of films,dbo:numberOfFilms,dbo:AdultActor,xsd:nonNegativeInteger,number of films of adult actor
number of goals scored,dbo:numberOfGoals,dbo:CareerStation,xsd:integer,number of goals scored of career station
number of gold medals won,dbo:numberOfGoldMedalsWon,dbo:SportCompetitionResult,xsd:nonNegativeInteger,number of gold medals won of sport competition result
number of graduate students,dbo:numberOfGraduateStudents,dbo:EducationalInstitution,xsd:nonNegativeInteger,number of graduate students of educational institution
number of graves,dbo:numberOfGraves,dbo:Cemetery,xsd:string,number of graves of cemetery
number of holes,dbo:numberOfHoles,dbo:GolfCourse,xsd:integer,number of holes of golf course
number of houses present),dbo:numberOfHouses,dbo:ProtectedArea,xsd:string,number of houses present) of protected area
number of all indegrees in dbpedia (same ourdegrees are counting repeatedly),dbo:numberOfIndegree,,xsd:nonNegativeInteger,number of all indegrees in dbpedia
number of intercommunality,dbo:numberOfIntercommunality,dbo:Department,xsd:nonNegativeInteger,number of intercommunality of department
number of islands,dbo:numberOfIsland,dbo:Place,xsd:string,number of islands of place
number of islands,dbo:numberOfIslands,dbo:Island,xsd:nonNegativeInteger,number of islands of island
number of lanes,dbo:numberOfLanes,dbo:RouteOfTransportation,xsd:nonNegativeInteger,number of lanes of route of transportation
number of laps,dbo:numberOfLaps,dbo:FormulaOneRacing,xsd:nonNegativeInteger,number of laps of formula one racing
number of launches,dbo:numberOfLaunches,dbo:MeanOfTransportation,xsd:nonNegativeInteger,number of launches of mean of transportation
number of lawyers,dbo:numberOfLawyers,dbo:LawFirm,xsd:nonNegativeInteger,number of lawyers of law firm
number of lifts,dbo:numberOfLifts,dbo:SkiArea,xsd:nonNegativeInteger,number of lifts of ski area
number of lines,dbo:numberOfLines,dbo:PublicTransitSystem,xsd:nonNegativeInteger,number of lines of public transit system
number of live albums,dbo:numberOfLiveAlbums,dbo:MusicalArtist,xsd:nonNegativeInteger,number of live albums of musical artist
number of locations,dbo:numberOfLocations,dbo:Organisation,xsd:nonNegativeInteger,number of locations of organisation
number of matches or caps,dbo:numberOfMatches,dbo:CareerStation,xsd:integer,number of matches or caps of career station
number of members,dbo:numberOfMembers,dbo:Legislature,xsd:nonNegativeInteger,number of members of legislature
number of members as of,dbo:numberOfMembersAsOf,dbo:PoliticalParty,xsd:date,number of members as of of political party
number of ministries,dbo:numberOfMinistries,dbo:Country,xsd:nonNegativeInteger,number of ministries of country
Number Of Municipalities,dbo:numberOfMunicipalities,dbo:PopulatedPlace,xsd:nonNegativeInteger,number of municipalities of populated place
number of MuscialArtist class (entities) in DBpedia,dbo:numberOfMusicalArtistEntities,dbo:Country,xsd:nonNegativeInteger,number of muscialartist class in dbpedia of country
number of all MuscialArtist playing the style,dbo:numberOfMusicalArtistStyle,dbo:MusicGenre,xsd:nonNegativeInteger,number of all muscialartist playing the style of music genre
number of neighbourhood,dbo:numberOfNeighbourhood,dbo:GermanSettlement,xsd:nonNegativeInteger,number of neighbourhood of german settlement
number of newly introduced sports,dbo:numberOfNewlyIntroducedSports,dbo:Olympics,xsd:nonNegativeInteger,number of newly introduced sports of olympics
number of offices,dbo:numberOfOffices,dbo:LawFirm,xsd:nonNegativeInteger,number of offices of law firm
number of officials,dbo:numberOfOfficials,dbo:OlympicResult,xsd:nonNegativeInteger,number of officials of olympic result
number of orbits,dbo:numberOfOrbits,dbo:SpaceMission,xsd:nonNegativeInteger,number of orbits of space mission
numberOfOutdegree,dbo:numberOfOutdegree,,xsd:nonNegativeInteger,numberofoutdegree
number of pads,dbo:numberOfPads,dbo:LaunchPad,xsd:nonNegativeInteger,number of pads of launch pad
number of pages,dbo:numberOfPages,dbo:WrittenWork,xsd:positiveInteger,number of pages of written work
number of parking spaces,dbo:numberOfParkingSpaces,dbo:Hotel,xsd:nonNegativeInteger,number of parking spaces of hotel
number of participating athletes,dbo:numberOfParticipatingAthletes,dbo:Olympics,xsd:nonNegativeInteger,number of participating athletes of olympics
number of participating female athletes,dbo:numberOfParticipatingFemaleAthletes,dbo:Olympics,xsd:nonNegativeInteger,number of participating female athletes of olympics
number of participating male athletes,dbo:numberOfParticipatingMaleAthletes,dbo:Olympics,xsd:nonNegativeInteger,number of participating male athletes of olympics
number of participating nations,dbo:numberOfParticipatingNations,dbo:Olympics,xsd:nonNegativeInteger,number of participating nations of olympics
number of passengers,dbo:numberOfPassengers,dbo:Ship,xsd:nonNegativeInteger,number of passengers of ship
number of people attending,dbo:numberOfPeopleAttending,dbo:Event,xsd:nonNegativeInteger,number of people attending of event
number of licensed,dbo:numberOfPeopleLicensed,dbo:Activity,xsd:nonNegativeInteger,number of licensed of activity
number of entities of Person class born in the place,dbo:numberOfPersonBornInPlace,dbo:Place,xsd:nonNegativeInteger,number of entities of person class born in the place of place
number of Person class (entities) in DBpedia,dbo:numberOfPersonEntities,dbo:Country,xsd:nonNegativeInteger,number of person class in dbpedia of country
number of entities of Person class who graduated from the university,dbo:numberOfPersonFromUniversity,dbo:University,xsd:nonNegativeInteger,number of entities of person class who graduated from the university of university
number of person in one occupation,dbo:numberOfPersonInOccupation,dbo:PersonFunction,xsd:nonNegativeInteger,number of person in one occupation of person function
number of piers in water,dbo:numberOfPiersInWater,dbo:Bridge,xsd:nonNegativeInteger,number of piers in water of bridge
number of pixels (millions),dbo:numberOfPixels,,xsd:nonNegativeInteger,number of pixels
number of platform levels,dbo:numberOfPlatformLevels,dbo:Station,xsd:integer,number of platform levels of station
number of players,dbo:numberOfPlayers,dbo:Activity,xsd:nonNegativeInteger,number of players of activity
number of postgraduate students,dbo:numberOfPostgraduateStudents,dbo:University,xsd:nonNegativeInteger,number of postgraduate students of university
numberOfPredicates,dbo:numberOfPredicates,,xsd:nonNegativeInteger,numberofpredicates
number of professionals,dbo:numberOfProfessionals,dbo:Activity,xsd:nonNegativeInteger,number of professionals of activity
numberOfProperties,dbo:numberOfProperties,,xsd:nonNegativeInteger,numberofproperties
numberOfPropertiesUsed,dbo:numberOfPropertiesUsed,,xsd:nonNegativeInteger,numberofpropertiesused
number of reactors,dbo:numberOfReactors,dbo:NuclearPowerStation,xsd:nonNegativeInteger,number of reactors of nuclear power station
numberOfRedirectedResource,dbo:numberOfRedirectedResource,,xsd:nonNegativeInteger,numberofredirectedresource
numberOfResource,dbo:numberOfResource,,xsd:nonNegativeInteger,numberofresource
number of all resource / entities of a class,dbo:numberOfResourceOfClass,,xsd:nonNegativeInteger,number of all resource / entities of a class
number of resource / entities for concrete type of subject,dbo:numberOfResourceOfType,,xsd:nonNegativeInteger,number of resource / entities for concrete type of subject
nmberOfResourceWithType,dbo:numberOfResourceWithType,,xsd:nonNegativeInteger,nmberofresourcewithtype
number of restaurants,dbo:numberOfRestaurants,dbo:Hotel,xsd:nonNegativeInteger,number of restaurants of hotel
number of rockets,dbo:numberOfRockets,dbo:MilitaryAircraft,xsd:nonNegativeInteger,number of rockets of military aircraft
number of rooms,dbo:numberOfRooms,dbo:Building,xsd:nonNegativeInteger,number of rooms of building
number of run,dbo:numberOfRun,dbo:Person,xsd:nonNegativeInteger,number of run of person
number of seasons,dbo:numberOfSeasons,dbo:TelevisionShow,xsd:nonNegativeInteger,number of seasons of television show
number of seats,dbo:numberOfSeats,dbo:MeanOfTransportation,xsd:nonNegativeInteger,number of seats of mean of transportation
number of seats in parliament,dbo:numberOfSeatsInParliament,dbo:PoliticalParty,xsd:nonNegativeInteger,number of seats in parliament of political party
number of settlement,dbo:numberOfSettlement,dbo:Department,xsd:nonNegativeInteger,number of settlement of department
number of entities of Settlement class in country,dbo:numberOfSettlementsInCountry,dbo:Country,xsd:nonNegativeInteger,number of entities of settlement class in country of country
number of silver medals won,dbo:numberOfSilverMedalsWon,dbo:SportCompetitionResult,xsd:nonNegativeInteger,number of silver medals won of sport competition result
number of SoccerPlayers in Country Repre,dbo:numberOfSoccerPlayerInCountryRepre,dbo:SoccerClub,xsd:nonNegativeInteger,number of soccerplayers in country repre of soccer club
number of SoccerPlayers born in Place,dbo:numberOfSoccerPlayersBornInPlace,dbo:Place,xsd:nonNegativeInteger,number of soccerplayers born in place of place
number of SoccerPlayers in entity of SoccerClub,dbo:numberOfSoccerPlayersInTeam,dbo:SoccerClub,xsd:nonNegativeInteger,number of soccerplayers in entity of soccerclub of soccer club
number of spans,dbo:numberOfSpans,dbo:Bridge,xsd:nonNegativeInteger,number of spans of bridge
number of speakers,dbo:numberOfSpeakers,dbo:Language,xsd:nonNegativeInteger,number of speakers of language
number of sports,dbo:numberOfSports,,xsd:nonNegativeInteger,number of sports
number of sports events,dbo:numberOfSportsEvents,,xsd:nonNegativeInteger,number of sports events
number of staff,dbo:numberOfStaff,dbo:Organisation,xsd:nonNegativeInteger,number of staff of organisation
number of stars,dbo:numberOfStars,dbo:Constellation,xsd:nonNegativeInteger,number of stars of constellation
Number Of State Deputies,dbo:numberOfStateDeputies,dbo:PopulatedPlace,xsd:nonNegativeInteger,number of state deputies of populated place
number of stations,dbo:numberOfStations,dbo:RouteOfTransportation,xsd:nonNegativeInteger,number of stations of route of transportation
number of sores,dbo:numberOfStores,dbo:ShoppingMall,xsd:nonNegativeInteger,number of sores of shopping mall
number of students,dbo:numberOfStudents,dbo:EducationalInstitution,xsd:nonNegativeInteger,number of students of educational institution
number of studio albums,dbo:numberOfStudioAlbums,dbo:MusicalArtist,xsd:nonNegativeInteger,number of studio albums of musical artist
number of suites,dbo:numberOfSuites,dbo:Hotel,xsd:nonNegativeInteger,number of suites of hotel
number of teams,dbo:numberOfTeams,dbo:SportsLeague,xsd:nonNegativeInteger,number of teams of sports league
number of tracks,dbo:numberOfTracks,dbo:Infrastructure,xsd:nonNegativeInteger,number of tracks of infrastructure
number of trails,dbo:numberOfTrails,dbo:SkiArea,xsd:nonNegativeInteger,number of trails of ski area
numberOfTriples,dbo:numberOfTriples,,xsd:nonNegativeInteger,numberoftriples
number of turns,dbo:numberOfTurns,dbo:RaceTrack,xsd:nonNegativeInteger,number of turns of race track
number of undergraduate students,dbo:numberOfUndergraduateStudents,dbo:EducationalInstitution,xsd:nonNegativeInteger,number of undergraduate students of educational institution
numberOfUniqeResources,dbo:numberOfUniqeResources,,xsd:nonNegativeInteger,numberofuniqeresources
number of use of a property,dbo:numberOfUseOfProperty,,xsd:nonNegativeInteger,number of use of a property
number of vehicles,dbo:numberOfVehicles,dbo:PublicTransitSystem,xsd:nonNegativeInteger,number of vehicles of public transit system
number of villages,dbo:numberOfVillages,dbo:District,xsd:nonNegativeInteger,number of villages of district
number of vineyards,dbo:numberOfVineyards,dbo:WineRegion,xsd:nonNegativeInteger,number of vineyards of wine region
number of visitors,dbo:numberOfVisitors,,xsd:nonNegativeInteger,number of visitors
number of visitors as of,dbo:numberOfVisitorsAsOf,dbo:HistoricPlace,xsd:gYear,number of visitors as of of historic place
number of volumes,dbo:numberOfVolumes,dbo:WrittenWork,xsd:nonNegativeInteger,number of volumes of written work
number of volunteers,dbo:numberOfVolunteers,dbo:Organisation,xsd:nonNegativeInteger,number of volunteers of organisation
number of wineries,dbo:numberOfWineries,dbo:WineRegion,xsd:nonNegativeInteger,number of wineries of wine region
number sold,dbo:numberSold,dbo:Sales,xsd:nonNegativeInteger,number sold of sales
NUTS code,dbo:nutsCode,dbo:Place,xsd:string,nuts code of place
observatory,dbo:observatory,dbo:Island,xsd:string,observatory of island
OCLC,dbo:oclc,dbo:WrittenWork,xsd:string,oclc of written work
Odor,dbo:odor,,xsd:string,odor
offered classes,dbo:offeredClasses,dbo:EducationalInstitution,xsd:string,offered classes of educational institution
(political) office,dbo:office,,xsd:string, office
official name,dbo:officialName,dbo:Settlement,rdf:langString,official name of settlement
official school colour,dbo:officialSchoolColour,dbo:EducationalInstitution,xsd:string,official school colour of educational institution
ofs code of a settlement,dbo:ofsCode,dbo:Settlement,xsd:string,ofs code of a settlement of settlement
okato code,dbo:okatoCode,dbo:PopulatedPlace,xsd:string,okato code of populated place
old name,dbo:oldName,dbo:PopulatedPlace,xsd:string,old name of populated place
oldcode,dbo:oldcode,dbo:OlympicResult,xsd:string,oldcode of olympic result
olympic games bronze,dbo:olympicGamesBronze,dbo:Person,xsd:nonNegativeInteger,olympic games bronze of person
olympic games gold,dbo:olympicGamesGold,dbo:Person,xsd:nonNegativeInteger,olympic games gold of person
olympic games silver,dbo:olympicGamesSilver,dbo:Person,xsd:nonNegativeInteger,olympic games silver of person
olympic games wins,dbo:olympicGamesWins,dbo:Person,xsd:string,olympic games wins of person
OMIM id,dbo:omim,dbo:Biomolecule,xsd:integer,omim id of biomolecule
on chromosome,dbo:onChromosome,dbo:GeneLocation,xsd:integer,on chromosome of gene location
ONS ID (Office national des statistiques) Algeria,dbo:ons,dbo:Settlement,xsd:nonNegativeInteger,ons id algeria of settlement
open access content,dbo:openAccessContent,dbo:PeriodicalLiterature,xsd:string,open access content of periodical literature
opening date,dbo:openingDate,,xsd:date,opening date
opening year,dbo:openingYear,,xsd:gYear,opening year
operating income ($),dbo:operatingIncome,dbo:Company,xsd:double,operating income of company
orbital eccentricity,dbo:orbitalEccentricity,dbo:CelestialBody,xsd:float,orbital eccentricity of celestial body
orbital flights,dbo:orbitalFlights,dbo:YearInSpaceflight,xsd:nonNegativeInteger,orbital flights of year in spaceflight
orbital inclination,dbo:orbitalInclination,dbo:SpaceMission,xsd:float,orbital inclination of space mission
orbital period (s),dbo:orbitalPeriod,dbo:Planet,xsd:double,orbital period of planet
orbits,dbo:orbits,,xsd:integer,orbits
ORCID Id,dbo:orcidId,,xsd:string,orcid id
order date,dbo:orderDate,dbo:Ship,xsd:date,order date of ship
order in office,dbo:orderInOffice,,xsd:string,order in office
Ordination,dbo:ordination,dbo:Priest,xsd:date,ordination of priest
orientation,dbo:orientation,dbo:Person,xsd:string,orientation of person
original danse competititon,dbo:originalDanseCompetition,dbo:Person,xsd:string,original danse competititon of person
original danse score,dbo:originalDanseScore,dbo:Person,xsd:string,original danse score of person
original maximum boat beam (μ),dbo:originalMaximumBoatBeam,dbo:Canal,xsd:double,original maximum boat beam of canal
original maximum boat length (μ),dbo:originalMaximumBoatLength,dbo:Canal,xsd:double,original maximum boat length of canal
original name,dbo:originalName,,rdf:langString,original name
titre original non latin,dbo:originalNotLatinTitle,dbo:Work,rdf:langString,titre original non latin of work
original title,dbo:originalTitle,dbo:Work,rdf:langString,original title of work
originally used for,dbo:originallyUsedFor,,xsd:string,originally used for
ORPHA,dbo:orpha,dbo:Disease,xsd:string,orpha of disease
other,dbo:other,dbo:University,xsd:integer,other of university
other activity,dbo:otherActivity,dbo:Person,xsd:string,other activity of person
other channel,dbo:otherChannel,dbo:Broadcaster,xsd:string,other channel of broadcaster
other information of a settlement,dbo:otherInformation,dbo:Settlement,xsd:string,other information of a settlement of settlement
other language of a settlement,dbo:otherLanguage,dbo:Settlement,xsd:string,other language of a settlement of settlement
other name,dbo:otherName,dbo:PopulatedPlace,rdf:langString,other name of populated place
other serving lines,dbo:otherServingLines,dbo:Station,xsd:string,other serving lines of station
other wins,dbo:otherWins,dbo:SnookerPlayer,xsd:nonNegativeInteger,other wins of snooker player
output,dbo:output,dbo:Place,xsd:float,output of place
output history,dbo:outputHistory,dbo:MusicalWork,xsd:string,output history of musical work
outskirts,dbo:outskirts,dbo:PopulatedPlace,xsd:string,outskirts of populated place
overall record,dbo:overallRecord,dbo:CollegeCoach,xsd:string,overall record of college coach
